step,physics_step,time,phase,root_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,projected_gravity_0,projected_gravity_1,projected_gravity_2,action_max_abs,action_mean,action[0],action[1],action[2],dof_pos[0],dof_pos[1],dof_pos[2],dof_vel[0],target_dof_pos[0],target_dof_pos[1],tau[0],tau[1],tau[2],max_abs_tau,stop_reason
32,320,0.640000,0.256800,0.411446,0.996553,0.006667,-0.066177,-0.049581,-0.131470,-0.019879,-0.991121,4.086552,-0.181983,1.770177,1.170027,0.268756,0.227275,0.098404,0.060438,0.567200,0.242544,0.292507,-0.1576,5.2073,-0.3467,7.8605,
33,330,0.660000,0.264800,0.410787,0.996569,0.006741,-0.063341,-0.052842,-0.126378,-0.020111,-0.991778,4.168255,-0.176465,1.742922,1.255809,0.203128,0.236289,0.095846,0.070086,0.305327,0.235730,0.313952,-0.2703,6.0438,-0.6374,7.6912,
34,340,0.680000,0.272800,0.410116,0.996786,0.006961,-0.057858,-0.054970,-0.115862,-0.020239,-0.993059,4.242103,-0.166123,1.734236,1.304165,0.144187,0.238924,0.094673,0.075010,0.008808,0.233559,0.326041,-0.1090,6.6267,-0.9618,7.5650,
35,350,0.700000,0.280800,0.409393,0.997081,0.007260,-0.050705,-0.056621,-0.101827,-0.020226,-0.994597,4.316813,-0.148071,1.769340,1.321319,0.076349,0.237194,0.094208,0.077019,-0.149463,0.242335,0.330330,0.1151,6.9798,-1.3195,7.4224,
36,360,0.720000,0.288800,0.408611,0.997369,0.007544,-0.042715,-0.058082,-0.085969,-0.020031,-0.996096,4.389578,-0.120895,1.856614,1.316619,-0.022122,0.233527,0.093902,0.077705,-0.202557,0.264153,0.329155,0.5681,7.1169,-1.7698,7.2795,
37,370,0.740000,0.296800,0.407754,0.997620,0.007742,-0.034703,-0.059081,-0.069901,-0.019475,-0.997364,4.472233,-0.082471,2.038334,1.319794,-0.188477,0.229895,0.093550,0.077307,-0.164557,0.309583,0.329949,1.2746,7.1643,-2.3653,7.1675,
38,380,0.760000,0.304800,0.406752,0.997880,0.008119,-0.027544,-0.058403,-0.055371,-0.019449,-0.998276,4.559266,-0.042887,2.287621,1.351747,-0.422440,0.227178,0.092444,0.073454,-0.097586,0.371905,0.337937,2.6186,7.1806,-3.1625,7.1806,
39,390,0.780000,0.312800,0.405793,0.998162,0.007881,-0.021677,-0.056045,-0.043446,-0.018307,-0.998888,4.646698,-0.017355,2.518031,1.430310,-0.690459,0.226060,0.092151,0.064601,-0.000138,0.429508,0.357578,4.3756,7.3804,-4.2521,7.3804,
40,400,0.800000,0.320800,0.404755,0.998419,0.007170,-0.017012,-0.053094,-0.034063,-0.016603,-0.999282,4.746708,-0.021649,2.585708,1.565387,-0.939072,0.227561,0.093022,0.045199,0.288192,0.446427,0.391347,5.6261,7.5093,-3.8250,7.5093,
41,410,0.820000,0.328800,0.402951,0.998384,0.006112,-0.012465,-0.055114,-0.025197,-0.013730,-0.999588,4.856921,-0.064760,2.305912,1.745015,-1.073000,0.238117,0.101026,-0.005638,0.591532,0.376478,0.436254,5.3620,8.0127,-2.3687,8.0127,
42,420,0.840000,0.336800,0.400132,0.997952,0.009488,-0.005795,-0.062997,-0.012068,-0.018786,-0.999751,4.957889,-0.132679,1.615525,1.924403,-1.007895,0.246253,0.105239,-0.071067,0.313208,0.203881,0.481101,3.4369,9.8310,-1.1918,9.8310,
43,430,0.860000,0.344800,0.396348,0.997137,0.018179,0.006180,-0.073132,0.011820,-0.033675,-0.999363,5.037049,-0.185160,0.687304,2.018955,-0.777168,0.246116,0.103131,-0.131367,-0.248090,-0.028174,0.504739,-0.8949,11.4761,0.5869,11.4761,
44,440,0.880000,0.352800,0.392075,0.995893,0.031850,0.027212,-0.080258,0.054046,-0.056825,-0.996920,5.046307,-0.200297,-0.287845,1.904889,-0.445290,0.222647,0.104058,-0.166715,-1.835902,-0.271961,0.476222,-4.7708,11.5327,1.5603,11.5327,
45,450,0.900000,0.360800,0.391045,0.994607,0.039559,0.055729,-0.078019,0.111019,-0.069437,-0.991390,5.432778,-0.169708,-0.937622,1.635695,-0.044477,0.171245,0.116491,-0.173731,-3.208612,-0.434406,0.408924,-8.4833,9.3242,1.4156,10.0122,
46,460,0.920000,0.368800,0.392389,0.993028,0.043498,0.088024,-0.065229,0.174193,-0.074385,-0.981898,6.004037,-0.062993,-0.639134,1.099289,0.064167,0.089368,0.141227,-0.149677,-4.626500,-0.359784,0.274822,-8.7735,5.9272,1.8333,13.0541,
47,470,0.940000,0.376800,0.393385,0.991048,0.040999,0.116863,-0.049865,0.230901,-0.070421,-0.970426,6.354249,0.180301,0.963508,0.456694,-0.413086,0.008613,0.168334,-0.124331,-3.364668,0.040877,0.114173,-6.0049,1.4165,2.7909,13.2191,
48,480,0.960000,0.384800,0.394408,0.989946,0.025705,0.134401,-0.035807,0.265859,-0.044284,-0.962994,6.039618,0.471001,3.273564,0.152838,-1.584537,-0.029599,0.201419,-0.129819,-0.920517,0.618391,0.038210,3.4951,-5.0460,1.8785,14.8127,
49,490,0.980000,0.392800,0.396859,0.990813,0.000850,0.134153,-0.017110,0.267948,-0.001339,-0.963433,4.858877,0.577350,4.705554,0.551625,-2.998403,-0.032992,0.238025,-0.159555,0.972281,0.976389,0.137906,18.0831,-8.2731,-4.4509,24.7251,
50,500,1.000000,0.400800,0.399976,0.993402,-0.022938,0.112351,0.001754,0.229151,0.041130,-0.972522,5.349838,0.344490,4.166159,1.273976,-3.614110,0.010470,0.255601,-0.215161,3.565919,0.841540,0.318494,23.6287,-4.4791,-10.3701,23.6287,
51,510,1.020000,0.408800,0.403339,0.995543,-0.032271,0.086938,-0.017163,0.176581,0.065575,-0.982099,5.780744,0.014622,2.108651,1.739901,-3.087902,0.103673,0.244958,-0.335442,4.981253,0.327163,0.434975,14.6641,4.2727,-5.7912,15.3911,
52,520,1.040000,0.416800,0.404842,0.995748,-0.009182,0.074856,-0.052890,0.149239,0.031947,-0.988285,5.832803,-0.053408,0.024398,2.283648,-2.112897,0.182915,0.181350,-0.455015,2.555757,-0.193901,0.570912,0.4938,11.7842,-2.9036,22.1573,
53,530,1.060000,0.424800,0.403111,0.994784,0.030095,0.074747,-0.062546,0.151246,-0.042579,-0.987579,5.854709,0.083135,-0.956102,2.342043,-1.465605,0.182721,0.179572,-0.480668,-2.027814,-0.439026,0.585511,-8.2569,8.7866,-0.8735,20.2063,
54,540,1.080000,0.432800,0.398618,0.993707,0.056255,0.083582,-0.048941,0.169671,-0.099464,-0.980469,5.980979,0.191718,-1.262107,2.153060,-0.901310,0.101249,0.271519,-0.461019,-5.761635,-0.515527,0.538265,-7.5658,0.7553,1.3677,12.2354,
55,550,1.100000,0.440800,0.390399,0.993550,0.059421,0.094135,-0.021588,0.188186,-0.113831,-0.975515,6.176676,0.230425,-1.034287,1.935384,-0.756639,-0.040138,0.406127,-0.414404,-7.941875,-0.458572,0.483846,-2.3488,-5.5940,2.0621,13.3210,
56,560,1.120000,0.448800,0.378307,0.993379,0.052551,0.102136,-0.002283,0.201232,-0.106234,-0.973766,6.311676,0.227031,-0.772943,1.603442,-0.661304,-0.185485,0.510458,-0.359578,-6.130912,-0.393236,0.400860,1.0038,-6.9482,0.8032,14.0697,
57,570,1.140000,0.456800,0.367233,0.992605,0.034473,0.115624,-0.013353,0.227545,-0.070097,-0.971241,6.550429,0.242275,-0.784460,1.214953,-0.729920,-0.316689,0.569186,-0.309290,-6.318414,-0.396115,0.303738,7.1812,-8.0234,0.9815,13.7145,
58,580,1.160000,0.464800,0.358234,0.991026,0.012205,0.129048,-0.032630,0.254438,-0.020295,-0.966876,6.766419,0.305240,-0.575905,0.850691,-0.948929,-0.422899,0.585412,-0.275179,-4.142763,-0.343976,0.212673,7.0177,-7.9363,0.6732,13.5110,
59,590,1.180000,0.472800,0.354670,0.988819,0.008789,0.140344,-0.049634,0.275390,-0.002727,-0.961329,6.719867,0.361229,-0.298766,0.614220,-1.252745,-0.441957,0.574861,-0.283339,0.011709,-0.274691,0.153555,2.9219,-9.3902,0.5455,13.5658,
60,600,1.200000,0.480800,0.359490,0.986540,0.010668,0.156283,-0.046919,0.306510,-0.006471,-0.951845,6.605314,0.435429,0.257192,0.594814,-1.748280,-0.457038,0.556146,-0.277798,-0.906840,-0.135702,0.148703,6.8307,-10.7785,-1.1829,12.5492,
61,610,1.220000,0.488800,0.365374,0.985296,0.007676,0.166595,-0.037139,0.327595,-0.003037,-0.944813,6.663703,0.461080,0.774932,0.819751,-2.212739,-0.470218,0.539198,-0.285364,-0.192908,-0.006267,0.204938,10.3249,-10.3289,-3.9331,12.3773,
62,620,1.240000,0.496800,0.370886,0.985006,0.013307,0.169719,-0.027944,0.334899,-0.013657,-0.942155,6.935300,0.412578,0.664009,1.182664,-2.336259,-0.458722,0.508245,-0.300358,1.487933,-0.033998,0.295666,11.3417,-5.6901,-6.2805,15.8356,
63,630,1.260000,0.504800,0.375397,0.984187,0.030405,0.171822,-0.030475,0.339405,-0.046291,-0.939501,7.206824,0.334738,-0.069628,1.575462,-2.135081,-0.425846,0.467520,-0.333354,1.791872,-0.217407,0.393866,9.0676,-2.6006,-4.6615,15.1842,
64,640,1.280000,0.512800,0.378892,0.981552,0.045883,0.180019,-0.045204,0.355359,-0.071709,-0.931975,7.229300,0.243342,-1.171748,1.836109,-1.757968,-0.399662,0.442385,-0.370698,0.950332,-0.492937,0.459027,4.0421,0.0447,-2.1850,13.6129,
65,650,1.300000,0.520800,0.380869,0.976962,0.058221,0.195579,-0.062479,0.385733,-0.088065,-0.918398,6.974917,0.183018,-2.150814,1.845641,-1.407849,-0.396071,0.426780,-0.396689,-0.407343,-0.737704,0.461410,-2.2950,1.9496,0.3370,13.7413,
66,660,1.320000,0.528800,0.380959,0.971196,0.067403,0.217005,-0.071715,0.426640,-0.099037,-0.898983,6.907426,0.181941,-2.518922,1.485850,-1.277449,-0.433135,0.418594,-0.401552,-2.826160,-0.829730,0.371462,-4.8978,1.6440,0.8644,20.6558,
67,670,1.340000,0.536800,0.379903,0.963615,0.073311,0.243584,-0.082092,0.476399,-0.101572,-0.873343,7.016276,0.247318,-2.211042,0.907977,-1.473303,-0.505426,0.415532,-0.387729,-4.149635,-0.752760,0.226994,-3.5047,-1.1899,1.0327,25.4497,
68,680,1.360000,0.544800,0.377983,0.956046,0.075915,0.267988,-0.091627,0.522304,-0.096768,-0.847251,7.003709,0.340627,-1.553350,0.348156,-1.760355,-0.582453,0.408256,-0.381320,-3.431030,-0.588337,0.087039,0.0373,-4.5812,0.1898,26.5137,
69,690,1.380000,0.552800,0.377016,0.949764,0.078289,0.287512,-0.095691,0.557900,-0.093702,-0.824601,7.008909,0.417845,-0.972607,0.051901,-1.998886,-0.612917,0.402487,-0.383141,-1.020236,-0.443152,0.012975,2.2677,-8.8825,-1.6102,24.7969,
70,700,1.400000,0.560800,0.377741,0.945047,0.080460,0.303002,-0.092745,0.585343,-0.095644,-0.805125,7.269145,0.473796,-0.444476,0.013825,-2.195161,-0.629163,0.390522,-0.383950,-0.622552,-0.311119,0.003456,6.5142,-10.3369,-3.4361,22.6640,
