step,physics_step,time,phase,root_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,projected_gravity_0,projected_gravity_1,projected_gravity_2,action_max_abs,action_mean,action[0],action[1],action[2],dof_pos[0],dof_pos[1],dof_pos[2],dof_vel[0],target_dof_pos[0],target_dof_pos[1],tau[0],tau[1],tau[2],max_abs_tau,stop_reason
32,320,0.640000,0.162944,0.421298,0.992238,0.015129,0.123414,0.001869,0.244376,-0.030500,-0.969201,3.253305,0.203682,-0.392956,-0.119323,0.100291,-0.299293,-0.080420,0.007292,-0.378995,-0.298239,-0.029831,0.9793,1.6152,0.7244,8.6136,
33,330,0.660000,0.168020,0.421349,0.991912,0.014835,0.126037,0.002484,0.249455,-0.030101,-0.967918,3.242491,0.219077,-0.454178,-0.129180,0.092836,-0.307334,-0.080514,0.005216,-0.402379,-0.313545,-0.032295,0.8764,1.5275,0.7541,8.5595,
34,340,0.680000,0.173096,0.421425,0.991560,0.014383,0.128810,0.003174,0.254822,-0.029410,-0.966541,3.231551,0.236666,-0.527310,-0.138231,0.084102,-0.315846,-0.080474,0.002905,-0.424550,-0.331827,-0.034558,0.7059,1.4441,0.7882,8.5086,
35,350,0.700000,0.178173,0.421538,0.991176,0.013863,0.131763,0.004028,0.260532,-0.028617,-0.965041,3.217800,0.255991,-0.607519,-0.147201,0.076635,-0.325892,-0.080527,-0.000004,-0.500836,-0.351880,-0.036800,0.5732,1.3892,0.8478,8.4577,
36,360,0.720000,0.183249,0.421697,0.990767,0.013416,0.134813,0.005039,0.266444,-0.027992,-0.963444,3.198110,0.275536,-0.696035,-0.155093,0.068712,-0.338410,-0.080972,-0.003628,-0.620994,-0.374009,-0.038773,0.5274,1.3696,0.9409,8.3947,
37,370,0.740000,0.188325,0.421889,0.990354,0.013085,0.137807,0.006082,0.272259,-0.027620,-0.961827,3.170612,0.294201,-0.796069,-0.163146,0.057534,-0.352948,-0.081881,-0.007591,-0.704336,-0.399017,-0.040786,0.4247,1.3713,1.0177,8.3049,
38,380,0.760000,0.193401,0.422089,0.989942,0.012864,0.140707,0.007142,0.277884,-0.027482,-0.960221,3.134201,0.311307,-0.906408,-0.174143,0.043163,-0.369071,-0.083272,-0.011758,-0.774506,-0.426602,-0.043536,0.2634,1.3892,1.0729,8.1801,
39,390,0.780000,0.198477,0.422268,0.989527,0.012758,0.143550,0.008206,0.283377,-0.027586,-0.958612,3.084515,0.326507,-1.026779,-0.189419,0.026549,-0.386633,-0.085231,-0.016086,-0.841817,-0.456695,-0.047355,0.0637,1.4100,1.1056,8.0150,
40,400,0.800000,0.203553,0.422396,0.989098,0.012774,0.146408,0.009257,0.288874,-0.027939,-0.956959,3.017237,0.340511,-1.160328,-0.207031,0.007439,-0.405686,-0.087865,-0.020553,-0.914477,-0.490082,-0.051758,-0.1585,1.4260,1.1242,7.7896,
41,410,0.820000,0.208629,0.422447,0.988641,0.012897,0.149387,0.010286,0.294574,-0.028516,-0.955203,2.927614,0.354225,-1.311789,-0.225590,-0.015492,-0.426531,-0.091252,-0.025204,-1.004973,-0.527947,-0.056398,-0.3991,1.4520,1.1346,7.4848,
42,420,0.840000,0.213706,0.422393,0.988134,0.013111,0.152615,0.011297,0.300717,-0.029285,-0.953264,2.809109,0.368414,-1.486580,-0.246969,-0.041980,-0.449729,-0.095474,-0.030161,-1.124773,-0.571645,-0.061742,-0.6594,1.5034,1.1351,7.0794,
43,430,0.860000,0.218782,0.422202,0.987554,0.013378,0.156226,0.012306,0.307559,-0.030185,-0.951050,2.792419,0.383569,-1.687525,-0.273001,-0.071151,-0.476046,-0.100608,-0.035597,-1.283990,-0.621881,-0.068250,-0.9420,1.5643,1.1387,6.5434,
44,440,0.880000,0.223858,0.421828,0.986861,0.013637,0.160441,0.013368,0.315516,-0.031127,-0.948410,2.997617,0.396509,-1.907540,-0.305544,-0.104458,-0.506488,-0.106824,-0.041755,-1.491876,-0.676885,-0.076386,-1.2240,1.6429,1.1627,5.8504,
45,450,0.900000,0.228934,0.421208,0.986060,0.013835,0.165176,0.014512,0.324470,-0.032010,-0.945354,3.188895,0.406573,-2.150254,-0.333364,-0.146014,-0.541210,-0.114149,-0.048646,-1.697533,-0.737564,-0.083341,-1.5240,1.6951,1.1662,5.1711,
46,460,0.920000,0.234010,0.420274,0.985143,0.013923,0.170443,0.015733,0.334404,-0.032746,-0.941861,3.353999,0.413078,-2.413692,-0.354236,-0.201622,-0.580294,-0.122435,-0.056228,-1.916550,-0.803423,-0.088559,-1.8433,1.8026,1.1375,6.0158,
47,470,0.940000,0.239086,0.418947,0.984087,0.013821,0.176316,0.017183,0.345449,-0.033239,-0.937849,3.483146,0.417838,-2.676391,-0.361423,-0.266039,-0.624242,-0.131672,-0.064852,-2.165811,-0.869098,-0.090356,-2.1267,1.9954,1.0670,6.7301,
48,480,0.960000,0.244162,0.417178,0.982890,0.013441,0.182723,0.018949,0.357493,-0.033363,-0.933320,3.552057,0.419264,-2.905850,-0.354278,-0.335957,-0.672446,-0.141782,-0.074526,-2.368172,-0.926463,-0.088570,-2.3473,2.3094,0.9510,7.2690,
49,490,0.980000,0.249239,0.414977,0.981597,0.012746,0.189371,0.021067,0.370021,-0.033060,-0.928435,3.568460,0.417926,-3.101563,-0.338096,-0.407881,-0.722959,-0.152585,-0.084850,-2.455669,-0.975391,-0.084524,-2.4216,2.7301,0.7757,7.6178,
50,500,1.000000,0.254315,0.412361,0.980270,0.011682,0.195928,0.023387,0.382400,-0.032174,-0.923436,3.549285,0.413902,-3.278428,-0.324351,-0.484621,-0.773685,-0.162765,-0.095606,-2.448892,-1.019607,-0.081088,-2.3778,3.0986,0.5865,7.8613,
51,510,1.020000,0.259391,0.409337,0.978948,0.010390,0.202186,0.025937,0.394212,-0.030961,-0.918498,3.494124,0.405999,-3.439088,-0.317313,-0.567230,-0.823812,-0.172654,-0.106521,-2.419703,-1.059772,-0.079328,-2.2443,3.4916,0.3473,8.1352,
52,520,1.040000,0.264467,0.405885,0.977660,0.009756,0.208095,0.027979,0.405298,-0.030572,-0.913673,3.583891,0.395446,-3.583891,-0.319415,-0.651671,-0.872344,-0.182886,-0.115910,-2.286287,-1.095973,-0.079854,-2.1934,3.8955,-0.3048,8.4445,
53,530,1.060000,0.269543,0.402040,0.976478,0.009822,0.213351,0.029589,0.415210,-0.031738,-0.909172,3.705451,0.380255,-3.705451,-0.319443,-0.739010,-0.918684,-0.192768,-0.123352,-2.249734,-1.126363,-0.079861,-1.9441,4.0912,-0.5883,8.8090,
54,540,1.080000,0.274619,0.397867,0.975445,0.009112,0.217684,0.032213,0.423375,-0.031829,-0.905395,3.804650,0.363489,-3.804650,-0.324806,-0.822990,-0.963982,-0.201784,-0.132989,-2.192932,-1.151162,-0.081202,-1.5820,4.3282,-0.8101,9.2426,
55,550,1.100000,0.279695,0.393397,0.974542,0.007927,0.221244,0.035432,0.430080,-0.031199,-0.902251,3.886711,0.343991,-3.886711,-0.332683,-0.899547,-1.007616,-0.210751,-0.143600,-2.103916,-1.171678,-0.083171,-1.1505,4.5724,-1.0929,9.7253,
56,560,1.120000,0.284772,0.388683,0.973775,0.006556,0.224084,0.038797,0.435459,-0.030248,-0.899700,3.955703,0.319619,-3.955703,-0.335402,-0.974821,-1.049000,-0.219961,-0.153895,-1.985410,-1.188926,-0.083851,-0.7022,4.8065,-1.4051,10.1869,
57,570,1.140000,0.289848,0.383803,0.973176,0.005077,0.226128,0.042063,0.439406,-0.029025,-0.897819,4.009917,0.288461,-4.009917,-0.327022,-1.047839,-1.087564,-0.229157,-0.163291,-1.836993,-1.202479,-0.081755,-0.2854,5.0511,-1.7586,10.5602,
58,580,1.160000,0.294924,0.378855,0.972786,0.003486,0.227250,0.045083,0.441706,-0.027432,-0.896740,4.042945,0.247286,-4.042945,-0.314084,-1.110216,-1.122764,-0.237866,-0.171576,-1.662353,-1.210736,-0.078521,0.1021,5.3250,-2.1382,10.8125,
59,590,1.180000,0.300000,0.374031,0.972639,0.001897,0.227301,0.048011,0.442084,-0.025665,-0.896607,4.055586,0.189940,-4.055586,-0.295908,-1.169125,-1.154883,-0.247412,-0.178270,-1.556155,-1.213897,-0.073977,0.6586,5.9253,-2.5499,10.7862,
60,600,1.200000,0.305076,0.369606,0.972806,0.000374,0.225982,0.050792,0.440013,-0.023863,-0.897674,4.060550,0.116653,-4.060550,-0.293671,-1.222685,-1.182863,-0.257725,-0.183330,-1.247656,-1.215137,-0.073418,0.9405,6.2135,-2.9229,10.3922,
61,610,1.220000,0.310152,0.365571,0.973329,-0.000953,0.223105,0.053420,0.435075,-0.022119,-0.900122,4.059827,0.029467,-4.059827,-0.321463,-1.268519,-1.203959,-0.265613,-0.187503,-0.902361,-1.214957,-0.080366,1.0182,6.2974,-3.2569,9.5926,
62,620,1.240000,0.315228,0.361947,0.974169,-0.001889,0.218691,0.056270,0.427240,-0.020992,-0.903894,4.053236,-0.061232,-4.053236,-0.380152,-1.297676,-1.218268,-0.271683,-0.191174,-0.576062,-1.213309,-0.095038,0.9634,6.1537,-3.5126,8.3995,
63,630,1.260000,0.320305,0.358765,0.975266,-0.002504,0.212808,0.059686,0.416604,-0.020523,-0.908856,4.031026,-0.155036,-4.031026,-0.451150,-1.311464,-1.226402,-0.276361,-0.195048,-0.280566,-1.207757,-0.112787,0.8136,5.7472,-3.5811,7.9540,
64,640,1.280000,0.325381,0.356047,0.976564,-0.002988,0.205519,0.063846,0.403260,-0.020385,-0.914858,3.974966,-0.255628,-3.974966,-0.527915,-1.301214,-1.228973,-0.279575,-0.199897,-0.010010,-1.193741,-0.131979,0.6515,5.2092,-3.4366,8.5621,
65,650,1.300000,0.330457,0.353839,0.978021,-0.003470,0.196835,0.068691,0.387239,-0.020239,-0.921757,3.918228,-0.354392,-3.918228,-0.593937,-1.263912,-1.226159,-0.281217,-0.206287,0.264777,-1.179557,-0.148484,0.5754,4.5560,-3.0477,8.8384,
66,660,1.320000,0.335533,0.352168,0.979578,-0.003924,0.186876,0.074087,0.368675,-0.019985,-0.929343,3.883384,-0.443116,-3.883384,-0.644508,-1.214225,-1.218013,-0.281020,-0.214015,0.532410,-1.170846,-0.161127,0.3551,3.9158,-2.4506,9.0225,
67,670,1.340000,0.340609,0.351072,0.981087,-0.004206,0.176214,0.079994,0.348503,-0.019879,-0.937097,4.512517,-0.516819,-3.839481,-0.680329,-1.182811,-1.205159,-0.279207,-0.222777,0.757668,-1.159870,-0.170082,-0.1071,3.3994,-1.7275,9.1529,
68,680,1.360000,0.345685,0.350609,0.982395,-0.004224,0.165551,0.086464,0.328043,-0.020220,-0.944446,5.154740,-0.572043,-3.735160,-0.698282,-1.187120,-1.188341,-0.276622,-0.232828,0.944615,-1.133790,-0.174570,-0.5628,2.9901,-1.1114,9.0252,
69,690,1.380000,0.350761,0.350813,0.983426,-0.003916,0.155444,0.093246,0.308377,-0.021115,-0.951030,5.800906,-0.615361,-3.525960,-0.710124,-1.230299,-1.168145,-0.272843,-0.243961,1.103846,-1.081490,-0.177531,-0.6251,2.6175,-0.7342,8.5855,
70,700,1.400000,0.355838,0.351811,0.984156,-0.003288,0.146138,0.100349,0.290094,-0.022631,-0.956731,6.460057,-0.656698,-3.250790,-0.730729,-1.321007,-1.144234,-0.267892,-0.256053,1.322718,-1.012697,-0.182682,-0.1018,2.3358,-0.6268,8.2349,
71,710,1.420000,0.360914,0.353698,0.984505,-0.002568,0.137630,0.108637,0.273202,-0.024592,-0.961642,7.058928,-0.692485,-2.985221,-0.753126,-1.417076,-1.116134,-0.263292,-0.269337,1.522037,-0.946305,-0.188282,0.8200,2.1093,-0.8131,8.6941,
72,720,1.440000,0.365990,0.356610,0.984393,-0.002062,0.129972,0.118632,0.257878,-0.026554,-0.965812,7.601896,-0.719269,-2.741821,-0.755679,-1.485549,-1.084338,-0.260418,-0.284594,1.719343,-0.885455,-0.188920,1.5620,1.9903,-0.8861,9.5629,
73,730,1.460000,0.371066,0.360772,0.983781,-0.002110,0.123120,0.130429,0.244158,-0.027834,-0.969336,8.069550,-0.731261,-2.453964,-0.730333,-1.473788,-1.047847,-0.258423,-0.302609,1.987290,-0.813491,-0.182583,1.8908,1.9178,-0.6560,11.0157,
