step,mode,root_z,root_vz,root_roll,root_pitch,root_yaw,root_ang_vel_z,left_foot_force_z,right_foot_force_z,total_contact_force_z,left_foot_height,right_foot_height,left_in_contact,right_in_contact,action_knee_L,action_knee_R,target_knee_L,target_knee_R,dof_pos_knee_L,dof_pos_knee_R,dof_vel_knee_L,dof_vel_knee_R,torque_knee_L,torque_knee_R,torque_ratio_knee_L,torque_ratio_knee_R,action_hip_L,action_hip_R,target_hip_L,target_hip_R,dof_pos_hip_L,dof_pos_hip_R,torque_hip_L,torque_hip_R,torque_ratio_hip_L,torque_ratio_hip_R,action_ankle_L,action_ankle_R,target_ankle_L,target_ankle_R,dof_pos_ankle_L,dof_pos_ankle_R,torque_ankle_L,torque_ankle_R,torque_ratio_ankle_L,torque_ratio_ankle_R,projected_gravity_x,projected_gravity_y,reset_buf
20,A:crouch,0.41776925325393677,0.6010761260986328,-0.015337965451180935,-0.3488209843635559,0.042443446815013885,1.6970486640930176,0.0,0.0,0.0,0.05866735428571701,0.05970527231693268,0,0,1.0,1.0,0.5,0.5,0.6764594316482544,0.6773600578308105,2.919553518295288,3.330366849899292,-4.202664375305176,-3.9611973762512207,0.11674067709181044,0.1100332604514228,-1.0,-1.0,-0.20000000298023224,-0.20000000298023224,-0.2149500697851181,-0.19530253112316132,-2.8392372131347656,-4.778900623321533,0.0788677003648546,0.13274723953670925,-1.0,-1.0,-0.20000000298023224,-0.20000000298023224,-0.22380073368549347,-0.23182359337806702,-0.07532739639282227,0.0741724967956543,0.003423972563310103,0.0033714771270751953,-0.3417900502681732,0.014413692057132721,0
21,A:crouch,0.4272870123386383,0.3868071436882019,-0.03351358324289322,-0.35716456174850464,0.07702378928661346,1.2019422054290771,0.0,0.0,0.0,0.07258588075637817,0.07570791989564896,0,0,1.0,1.0,0.75,0.75,0.7174521684646606,0.7260634899139404,1.431858777999878,1.8043091297149658,-1.533409833908081,-2.3283097743988037,0.042594717608557806,0.06467527151107788,-1.0,-1.0,-0.44999998807907104,-0.44999998807907104,-0.2689127027988434,-0.24513207376003265,-1.7916555404663086,-2.6940317153930664,0.04976820945739746,0.07483421431647407,-1.0,-1.0,-0.44999998807907104,-0.44999998807907104,-0.2901824414730072,-0.29254159331321716,-0.2764444351196289,-0.5324320793151855,0.012565656141801313,0.02420145815069025,-0.34961915016174316,0.03139273077249527,0
22,A:crouch,0.4324341118335724,0.1718723028898239,-0.04529189318418503,-0.359564870595932,0.09790525585412979,0.6265379190444946,0.0,0.0,0.0,0.0833817645907402,0.08739674091339111,0,0,1.0,1.0,0.75,0.75,0.7330871820449829,0.7455976009368896,0.45755791664123535,0.5421987175941467,-0.40171462297439575,-1.0010814666748047,0.01115873952706655,0.027807818518744573,-1.0,-1.0,-0.44999998807907104,-0.44999998807907104,-0.32073453068733215,-0.30172619223594666,-0.3922262191772461,-0.5884618759155273,0.010895172754923502,0.01634616321987576,-1.0,-1.0,-0.44999998807907104,-0.44999998807907104,-0.3406204879283905,-0.33731910586357117,0.01438283920288086,-0.2976493835449219,0.0006537654183127663,0.013529517433860085,-0.3518669605255127,0.04238097742199898,0
23,A:crouch,0.43334072828292847,-0.03494105860590935,-0.051256634294986725,-0.36072689294815063,0.10678142309188843,0.189198300242424,0.0,0.0,0.0,0.09127755463123322,0.09503739327192307,0,0,1.0,1.0,0.75,0.75,0.7352858781814575,0.7464141845703125,-0.0508032962679863,-0.19532278180122375,0.3716694116592407,0.16649045050144196,0.010324150323867798,0.004624734736151165,-1.0,-1.0,-0.44999998807907104,-0.44999998807907104,-0.3674375116825104,-0.3575298488140106,0.638737678527832,0.9805212020874023,0.017742713292439777,0.0272367000579834,-1.0,-1.0,-0.44999998807907104,-0.44999998807907104,-0.37833890318870544,-0.3728921115398407,0.21037638187408447,0.022471308708190918,0.009562562812458385,0.0010214231230995872,-0.3529544472694397,0.047936782240867615,0
24,A:crouch,0.4302816689014435,-0.23007957637310028,-0.053170204162597656,-0.364639550447464,0.10782858729362488,-0.06181984767317772,0.0,0.0,0.0,0.09604689478874207,0.09890109300613403,0,0,1.0,1.0,0.75,0.75,0.7315131425857544,0.7384247779846191,-0.23884181678295135,-0.4732164442539215,0.8417422771453857,0.9347816705703735,0.02338172992070516,0.025966157515843708,-1.0,-1.0,-0.44999998807907104,-0.44999998807907104,-0.40582218766212463,-0.40605804324150085,1.2074408531188965,1.9029920101165771,0.033540023697747126,0.05286088916990492,-1.0,-1.0,-0.44999998807907104,-0.44999998807907104,-0.40609368681907654,-0.4013626277446747,0.3289003372192383,0.27848219871520996,0.014950015328147194,0.01265828175978227,-0.35661256313323975,0.049650996923446655,0
25,A:crouch,0.42351633310317993,-0.4155588150024414,-0.05271631106734276,-0.37389785051345825,0.10496700555086136,-0.16398495435714722,0.0,0.0,0.0,0.09728696942329407,0.09901580214500427,0,0,1.0,1.0,0.75,0.75,0.7267047166824341,0.7289614677429199,-0.22260911762714386,-0.44545796513557434,1.0253591537475586,1.2721892595291138,0.02848219871520996,0.03533859054247538,-1.0,-1.0,-0.44999998807907104,-0.44999998807907104,-0.4340849220752716,-0.44324180483818054,1.3613908290863037,2.2279372215270996,0.03781641191906399,0.061887145042419434,-1.0,-1.0,-0.44999998807907104,-0.44999998807907104,-0.425877183675766,-0.423135370016098,0.373967707157135,0.41308629512786865,0.016998532143506138,0.018776649778539486,-0.3652467429637909,0.049051444977521896,0
26,A:crouch,0.41321396827697754,-0.5957000255584717,-0.05122605338692665,-0.3895246684551239,0.10085158795118332,-0.17927081882953644,0.0,0.0,0.0,0.09461735188961029,0.09526769816875458,0,0,1.0,1.0,0.75,0.75,0.7236429452896118,0.7221262454986572,-0.10416745394468307,-0.26936978101730347,0.9829409718513489,1.276003360748291,0.02730391588475969,0.03544453779856364,-1.0,-1.0,-0.44999998807907104,-0.44999998807907104,-0.45212820172309875,-0.4677670896053314,1.2138721942901611,2.103200912475586,0.03371867206361559,0.058422247568766274,-1.0,-1.0,-0.44999998807907104,-0.44999998807907104,-0.4391796290874481,-0.4384758174419403,0.3545457720756531,0.43153029680252075,0.016115716912529686,0.01961501349102367,-0.37974873185157776,0.04736796393990517,0
27,A:crouch,0.3994385600090027,-0.7748082876205444,-0.04967443272471428,-0.41121017932891846,0.09689623862504959,-0.1583973467350006,0.0,0.0,0.0,0.08779142796993256,0.08755693584680557,0,0,1.0,1.0,0.75,0.75,0.7233473062515259,0.7193708419799805,0.0381167009472847,-0.05976409465074539,0.8001025915145874,1.076350450515747,0.022225071986516316,0.02989862362543742,-1.0,-1.0,-0.44999998807907104,-0.44999998807907104,-0.46125200390815735,-0.48059579730033875,0.895492434501648,1.7071480751037598,0.024874789847268,0.047420779863993325,-1.0,-1.0,-0.44999998807907104,-0.44999998807907104,-0.44731053709983826,-0.44810041785240173,0.2900947034358978,0.3703000247478485,0.013186122883449902,0.016831819306720387,-0.39971891045570374,0.04551474004983902,0
28,A:crouch,0.3821682929992676,-0.9560444355010986,-0.04870125651359558,-0.43779256939888,0.09368333965539932,-0.1301998347043991,0.0,0.0,0.0,0.0767318457365036,0.07587090879678726,0,0,1.0,1.0,0.75,0.75,0.7256444692611694,0.7204744815826416,0.15599451959133148,0.11769111454486847,0.5585061311721802,0.7858558297157288,0.015514059199227227,0.02182932860321469,-1.0,-1.0,-0.44999998807907104,-0.44999998807907104,-0.4635801613330841,-0.484098881483078,0.52150559425354,1.1998622417449951,0.014486266507042779,0.033329506715138756,-1.0,-1.0,-0.44999998807907104,-0.44999998807907104,-0.45152685046195984,-0.45314332842826843,0.2037792056798935,0.2702893912792206,0.009262691167267885,0.012285881421782753,-0.4239412546157837,0.04409078136086464,0
29,A:crouch,0.36132490634918213,-1.1411516666412354,-0.048652034252882004,-0.4677444100379944,0.09136994928121567,-0.10620354115962982,0.0,0.0,0.0,0.06149803847074509,0.0602693185210228,0,0,1.0,1.0,0.75,0.75,0.7297435998916626,0.7243990898132324,0.22814100980758667,0.2352382242679596,0.31976211071014404,0.48537492752075195,0.008882280853059556,0.013482636875576444,-1.0,-1.0,-0.44999998807907104,-0.44999998807907104,-0.4614861309528351,-0.4811968505382538,0.1761757731437683,0.7003499865531921,0.004893771476215786,0.019454166293144226,-1.0,-1.0,-0.44999998807907104,-0.44999998807907104,-0.4530136287212372,-0.4549029767513275,0.1158747524023056,0.16358092427253723,0.0052670342001048,0.007435496557842602,-0.45087411999702454,0.0434090718626976,0
