step,mode,root_z,root_vz,root_roll,root_pitch,root_yaw,root_ang_vel_z,left_foot_force_z,right_foot_force_z,total_contact_force_z,left_foot_height,right_foot_height,left_in_contact,right_in_contact,action_knee_L,action_knee_R,target_knee_L,target_knee_R,dof_pos_knee_L,dof_pos_knee_R,dof_vel_knee_L,dof_vel_knee_R,torque_knee_L,torque_knee_R,torque_ratio_knee_L,torque_ratio_knee_R,action_hip_L,action_hip_R,target_hip_L,target_hip_R,dof_pos_hip_L,dof_pos_hip_R,torque_hip_L,torque_hip_R,torque_ratio_hip_L,torque_ratio_hip_R,action_ankle_L,action_ankle_R,target_ankle_L,target_ankle_R,dof_pos_ankle_L,dof_pos_ankle_R,torque_ankle_L,torque_ankle_R,torque_ratio_ankle_L,torque_ratio_ankle_R,projected_gravity_x,projected_gravity_y,reset_buf
20,B:crouch,0.38753756880760193,-0.16156622767448425,-0.02901558205485344,-0.5106949806213379,-2.893765687942505,-0.14091703295707703,78.81564331054688,69.8062973022461,148.62194061279297,0.040414292365312576,0.04013461619615555,1,1,0.0,0.0,1.194846749305725,1.1909027099609375,0.6872935891151428,0.667906641960144,0.04143926873803139,0.17658297717571259,-5.63954496383667,-5.258650302886963,0.15665402677324083,0.14607361952463785,0.0,0.0,-1.243477702140808,-1.2641996145248413,-0.1604057103395462,-0.12934499979019165,-1.135884404182434,-1.8925435543060303,0.03155234456062317,0.05257065428627862,0.0,0.0,-0.48989251255989075,-0.5391039252281189,-0.029090050607919693,-0.03816479444503784,-4.427554130554199,-4.025981903076172,0.20125246047973633,0.18299917741255325,-0.48878368735313416,0.025309789925813675,0
21,B:crouch,0.3847697675228119,-0.171409010887146,-0.028759093955159187,-0.5359119772911072,-2.8972816467285156,-0.17596951127052307,79.41537475585938,71.3187026977539,150.73407745361328,0.04060349240899086,0.04040652886033058,1,1,0.0,0.0,1.194846749305725,1.1909027099609375,0.6888803243637085,0.6721755266189575,0.10465036332607269,0.1990290880203247,-5.789544105529785,-5.428290367126465,0.16082066959804958,0.15078584353129068,0.0,0.0,-1.243477702140808,-1.2641996145248413,-0.1599120795726776,-0.13190528750419617,-1.2557413578033447,-1.9109622240066528,0.03488170438342624,0.053082284000184804,0.0,0.0,-0.48989251255989075,-0.5391039252281189,-0.01072693057358265,-0.02176845632493496,-4.5720696449279785,-4.189101696014404,0.2078213474967263,0.1904137134552002,-0.5106253623962402,0.024723760783672333,0
22,B:crouch,0.38188955187797546,-0.18142418563365936,-0.028285875916481018,-0.5634480714797974,-2.901395082473755,-0.18807224929332733,79.45441436767578,71.58876037597656,151.04317474365234,0.040954649448394775,0.040857307612895966,1,1,0.0,0.0,1.194846749305725,1.1909027099609375,0.6911654472351074,0.6764969825744629,0.11314412206411362,0.1989438682794571,-5.90684700012207,-5.518087387084961,0.16407908333672416,0.15328020519680446,0.0,0.0,-1.243477702140808,-1.2641996145248413,-0.15805356204509735,-0.13309793174266815,-1.3995506763458252,-1.9710979461669922,0.03887640767627292,0.054752720726860896,0.0,0.0,-0.48989251255989075,-0.5391039252281189,0.0030575247947126627,-0.008961332961916924,-4.641354560852051,-4.286135673522949,0.2109706618569114,0.19482434879649768,-0.5341044068336487,0.02391020953655243,0
23,B:crouch,0.3788662850856781,-0.19443760812282562,-0.027766253799200058,-0.5930206179618835,-2.9054369926452637,-0.18635471165180206,78.13973999023438,69.8481216430664,147.98786163330078,0.041490696370601654,0.041496701538562775,1,1,0.0,0.0,1.194846749305725,1.1909027099609375,0.6933689713478088,0.6800058484077454,0.11531231552362442,0.14903628826141357,-5.962109565734863,-5.609930515289307,0.1656141546037462,0.15583140320248073,0.0,0.0,-1.243477702140808,-1.2641996145248413,-0.15534840524196625,-0.1330738365650177,-1.541120171546936,-2.0480334758758545,0.04280889365408155,0.05688981877432929,0.0,0.0,-0.48989251255989075,-0.5391039252281189,0.012959974817931652,0.000636571494396776,-4.65799617767334,-4.311178684234619,0.21172709898515182,0.19596266746520996,-0.5588684678077698,0.023022379726171494,0
24,B:crouch,0.3756130337715149,-0.21125943958759308,-0.027264490723609924,-0.6241963505744934,-2.9092700481414795,-0.16075630486011505,76.77200317382812,68.53274536132812,145.30474853515625,0.04222138971090317,0.04232330620288849,1,1,0.0,0.0,1.194846749305725,1.1909027099609375,0.694938063621521,0.6824404001235962,0.08012682944536209,0.09314921498298645,-5.966189861297607,-5.6001410484313965,0.16572749614715576,0.1555594735675388,0.0,0.0,-1.243477702140808,-1.2641996145248413,-0.15259794890880585,-0.13254019618034363,-1.6275116205215454,-2.1052324771881104,0.04520865612559848,0.05847867992189196,0.0,0.0,-0.48989251255989075,-0.5391039252281189,0.019750071689486504,0.007289159577339888,-4.657164096832275,-4.308878421783447,0.21168927712873978,0.1958581100810658,-0.5844453573226929,0.02212056890130043,0
25,B:crouch,0.37203556299209595,-0.2331458181142807,-0.026874791830778122,-0.6567091345787048,-2.9125542640686035,-0.1369047611951828,75.28783416748047,68.23412322998047,143.52195739746094,0.043161436915397644,0.04333481565117836,1,1,0.0,0.0,1.194846749305725,1.1909027099609375,0.695526659488678,0.6834059357643127,0.004143092781305313,0.000418058130890131,-5.909228324890137,-5.5346999168396,0.16414523124694824,0.15374166435665554,0.0,0.0,-1.243477702140808,-1.2641996145248413,-0.15036837756633759,-0.13192512094974518,-1.6455016136169434,-2.129786252975464,0.04570837815602621,0.05916072924931844,0.0,0.0,-0.48989251255989075,-0.5391039252281189,0.02367314137518406,0.01132714468985796,-4.606298923492432,-4.231543064117432,0.20937722379511053,0.19234286655079236,-0.6105137467384338,0.02128242701292038,0
26,B:crouch,0.3680236339569092,-0.2611246407032013,-0.02668304368853569,-0.6904174089431763,-2.915067195892334,-0.09900394827127457,72.6889877319336,66.13994598388672,138.8289337158203,0.044313907623291016,0.044527024030685425,1,1,0.0,0.0,1.194846749305725,1.1909027099609375,0.6947028040885925,0.682609498500824,-0.05180317163467407,-0.09599392861127853,-5.726831436157227,-5.397098064422607,0.1590786510043674,0.14991939067840576,0.0,0.0,-1.243477702140808,-1.2641996145248413,-0.1489574909210205,-0.13154888153076172,-1.646652340888977,-2.1184494495391846,0.045740342802471586,0.05884581804275513,0.0,0.0,-0.48989251255989075,-0.5391039252281189,0.025004364550113678,0.012806748040020466,-4.561334609985352,-4.1757001876831055,0.20733339136297052,0.1898045539855957,-0.6368590593338013,0.020569659769535065,0
27,B:crouch,0.3634379804134369,-0.2966257333755493,-0.02658936381340027,-0.7252175211906433,-2.9169886112213135,-0.07550555467605591,69.686767578125,62.76358413696289,132.4503517150879,0.04566442221403122,0.045890145003795624,1,1,0.0,0.0,1.194846749305725,1.1909027099609375,0.6920717358589172,0.6799457669258118,-0.16906112432479858,-0.18512442708015442,-5.554007053375244,-5.1663384437561035,0.1542779737048679,0.1435094012154473,0.0,0.0,-1.243477702140808,-1.2641996145248413,-0.14850471913814545,-0.13183808326721191,-1.5777130126953125,-2.0693328380584717,0.04382536146375868,0.057481467723846436,0.0,0.0,-0.48989251255989075,-0.5391039252281189,0.023973003029823303,0.011862566694617271,-4.416184902191162,-4.059237003326416,0.20073567737232556,0.18451077287847345,-0.6632982492446899,0.01989593729376793,0
28,B:crouch,0.3581242263317108,-0.3399466276168823,-0.026591377332806587,-0.7611241936683655,-2.918401002883911,-0.05551284924149513,66.59600067138672,60.65803146362305,127.25403213500977,0.04719832167029381,0.04740922898054123,1,1,0.0,0.0,1.194846749305725,1.1909027099609375,0.6873461604118347,0.6751809120178223,-0.28291887044906616,-0.2696743309497833,-5.273615837097168,-4.900882244110107,0.14648932880825466,0.13613561789194742,0.0,0.0,-1.243477702140808,-1.2641996145248413,-0.14908502995967865,-0.132952481508255,-1.4905996322631836,-1.967429518699646,0.04140554534064399,0.054650819963879056,0.0,0.0,-0.48989251255989075,-0.5391039252281189,0.020631946623325348,0.008574379608035088,-4.2333083152771,-3.8783326148986816,0.19242310523986816,0.17628784613175827,-0.6897358298301697,0.019251510500907898,0
29,B:crouch,0.3519077003002167,-0.39284271001815796,-0.02674848400056362,-0.798206090927124,-2.9192047119140625,-0.03208246827125549,62.656349182128906,56.82284927368164,119.47919845581055,0.048894330859184265,0.04905878007411957,1,1,0.0,0.0,1.194846749305725,1.1909027099609375,0.6802713871002197,0.6681886315345764,-0.39093440771102905,-0.4129160940647125,-4.898430347442627,-4.599142551422119,0.13606750965118408,0.12775395976172554,0.0,0.0,-1.243477702140808,-1.2641996145248413,-0.1507168859243393,-0.1349402517080307,-1.366065502166748,-1.827892541885376,0.03794626394907633,0.05077479283014933,0.0,0.0,-0.48989251255989075,-0.5391039252281189,0.01493082381784916,0.0026358049362897873,-4.0275492668151855,-3.6751670837402344,0.18307042121887207,0.16705304926091974,-0.7161051034927368,0.01866801083087921,0
